event_name,source,trigger,live_endpoint_or_route,intended_destinations,current_status,evidence,required_action
MetaLead,Meta Lead Ads webhook/planned integration,Lead ad form submission,/api/crm Meta ads routes,CRM lead store and journeys,not_proven,"Meta Ads routes exist locally; live usage not proven in this audit","Verify webhook subscription and add tests"
GoogleFormLead,Google Forms integration,Google form submission,google_forms_integration.py,CRM lead store and journeys,not_proven,"Code exists but no live conversion fan-out verified","Verify if in active production path"
WhatsAppSend,anu-login backend,CRM WhatsApp send request,/api/crm/meta-wa/send and /api/crm/wabis/send,WhatsApp provider and journey logs,partial,"nginx routes selected paths to 8010; active DB has zero journey rows","Verify provider logs and DB write path"
WhatsAppClick,anu-login backend,Tracking link click,/tracking/whatsapp-click,Journey engagement and CRM score,inert,"Active SQLite DB has 0 journey_engagement_events","Route live links to backend and verify inserts"
WhatsAppReply,anu-login backend,Incoming reply webhook,/tracking/whatsapp/reply or related route,Journey engagement and CRM score,inert,"Active SQLite DB has 0 journey_engagement_events","Verify route wiring and provider webhook settings"
WhatsAppCall,anu-login backend,Call CTA tracking,/tracking/whatsapp-call,Journey engagement and CRM score,inert,"Active SQLite DB has 0 journey_engagement_events","Verify route wiring and generated links"
WhatsAppUnsubscribe,anu-login backend,Unsubscribe action,/tracking/whatsapp-unsubscribe,Subscription suppression,inert,"Active SQLite DB has 0 journey_customers","Verify route wiring and data writes"
GA4PurchaseMP,Root CRM sender,orders/paid fan-out,fire_ga4_purchase,GA4 Measurement Protocol,route_fixed_pending_destination_validation,"Post-fix sender prefers GA client/session identifiers and orders/paid reaches CRM; delivery awaits next real paid order","Validate next paid order in GA4 DebugView/MP logs"
MetaCAPIPurchase,Root CRM sender,orders/paid fan-out,meta_capi.send_purchase,Meta CAPI,route_fixed_pending_destination_validation,"Post-fix orders/paid reaches CRM and browser stores fbp/fbc; production Meta helper still needs fbp/external_id/event_source_url support","Validate next paid order in Meta Events Manager and improve payload"
GoogleAdsPurchase,Root CRM sender,orders/paid fan-out,gads_conversion.upload_purchase_conversion,Google Ads API v20,route_fixed_pending_destination_validation,"Post-fix orders/paid reaches CRM and attribution capture is flowing; partial failure logging still needs improvement","Validate next paid order in Google Ads diagnostics"
